name,type,ra_hours,dec_degrees,magnitude,size_arcmin
B 247,DrkN,17.218934,-30.264556,,5.00
B 248,DrkN,17.208333,-29.016667,,10.00
B 249,DrkN,17.208333,-29.233333,,3.00
B 250,DrkN,17.203333,-28.400000,,13.00
B 251,DrkN,17.230000,-20.150000,,13.00
B 252,DrkN,17.253333,-32.183333,,
B 253,DrkN,17.250000,-22.600000,,
B 254,DrkN,17.341667,-30.116667,,40.00
B 255,DrkN,17.343333,-23.383333,,5.00
B 256,DrkN,17.370000,-28.816667,,
B 257,DrkN,17.368056,-35.608333,,11.00
B 258,DrkN,17.381667,-34.716667,,40.00
B 259,DrkN,17.366667,-19.283333,,
B 260,DrkN,17.418333,-25.550000,,10.00
B 261,DrkN,17.430721,-23.015663,,
B 262,DrkN,17.428333,-22.383333,,24.00
B 263,DrkN,17.448333,-42.633333,,
B 264,DrkN,17.453333,-25.516667,,11.00
B 265,DrkN,17.460000,-25.183333,,
B 266,DrkN,17.468333,-20.933333,,
B 267,DrkN,17.481862,-25.215620,,
B 268,DrkN,17.516667,-20.500000,,
B 269,DrkN,17.536667,-22.750000,,60.00
B 270,DrkN,17.545000,-19.583333,,14.00
B 271,DrkN,17.566667,-34.200000,,120.00
B 272,DrkN,17.616667,-23.400000,,45.00
B 273,DrkN,17.641667,-33.333333,,15.00
B 274,DrkN,17.633333,-22.716667,,18.00
B 275,DrkN,17.650000,-32.316667,,13.00
B 276,DrkN,17.658333,-19.783333,,17.00
B 277,DrkN,17.671176,-23.020497,,7.80
B 278,DrkN,17.710000,-32.300000,,15.00
B 279,DrkN,17.743333,-22.466667,,60.00
B 280,DrkN,17.750000,-20.716667,,
B 281,DrkN,17.780000,-23.716667,,45.00
B 282,DrkN,17.810000,-23.450000,,20.00
B 283,DrkN,17.850000,-33.900000,,
B 284,DrkN,17.840000,-14.283333,,25.00
B 285,DrkN,17.858333,-12.866667,,15.00
B 286,DrkN,17.883333,-35.616667,,
B 287,DrkN,17.906667,-35.183333,,
B 288,DrkN,17.951667,-37.083333,,
B 289,DrkN,17.941667,-29.033333,,16.00
B 290,DrkN,17.988333,-37.133333,,
B 291,DrkN,17.995000,-33.883333,,7.00
B 292,DrkN,18.010000,-33.333333,,
B 293,DrkN,18.020000,-35.333333,,20.00
B 294,DrkN,18.025000,-28.600000,,3.00
B 295,DrkN,18.068333,-31.150000,,
B 296,DrkN,18.068333,-24.516667,,4.00
B 297,DrkN,18.066667,-18.700000,,75.00
B 298,DrkN,18.086667,-30.083333,,
B 299,DrkN,18.106667,-27.416667,,8.00
B 300,DrkN,18.116667,-32.650000,,
B 301,DrkN,18.146667,-18.700000,,30.00
B 302,DrkN,18.151667,-24.000000,,1.00
B 303,DrkN,18.152032,-24.136334,,
B 304,DrkN,18.216667,-18.700000,,30.00
B 305,DrkN,18.243333,-31.800000,,17.00
B 306,DrkN,18.265000,-25.733333,,4.00
B 307,DrkN,18.318333,-17.816667,,4.00
B 308,DrkN,18.318333,-22.233333,,8.00
B 309,DrkN,18.385000,-24.016667,,
B 310,DrkN,18.503333,-18.583333,,2.00
B 311,DrkN,18.506512,-17.686051,,10.20
B 312,DrkN,18.533333,-15.600000,,75.00
B 313,DrkN,18.598333,-15.683333,,15.00
B 314,DrkN,18.633333,-9.666667,,28.00
B 315,DrkN,18.700000,-19.950000,,6.00
B 316,DrkN,18.696667,-2.133333,,
B 317,DrkN,18.763333,-14.200000,,25.00
B 318,DrkN,18.828333,-6.383333,,60.00
B 319,DrkN,18.866667,-1.266667,,7.00
B 320,DrkN,18.880000,-5.850000,,
B 321,DrkN,18.900000,-11.283333,,15.00
B 322,DrkN,18.929167,-4.441667,,3.50
B 323,DrkN,18.960000,-3.416667,,16.00
B 324,DrkN,18.990000,-2.983333,,30.00
B 325,DrkN,18.998333,-4.050000,,17.00
B 326,DrkN,19.050000,-0.400000,,16.00
B 327,DrkN,19.073333,-5.250000,,20.00
B 328,DrkN,19.080000,-4.233333,,4.00
B 329,DrkN,19.116667,3.183333,,6.00
B 330,DrkN,19.326667,7.466667,,28.00
B 331,DrkN,19.433333,7.600000,,45.00
B 332,DrkN,19.466667,8.800000,,40.00
B 333,DrkN,19.466667,10.700000,,50.00
B 334,DrkN,19.581667,12.283333,,5.00
B 335,DrkN,19.615278,7.573333,,
B 336,DrkN,19.606667,12.283333,,3.50
B 337,DrkN,19.613333,12.450000,,3.00
B 338,DrkN,19.723333,7.366667,,11.00
B 339,DrkN,19.733333,8.300000,,60.00
B 340,DrkN,19.811667,11.400000,,
B 341,DrkN,19.833333,34.266667,,35.00
B 342,DrkN,20.153333,41.150000,,4.00
B 343,DrkN,20.230000,40.316667,,
B 344,DrkN,20.270000,40.216667,,7.00
B 345,DrkN,20.350000,46.550000,,25.00
B 346,DrkN,20.446667,43.733333,,10.00
B 347,DrkN,20.475000,39.900000,,5.00
B 348,DrkN,20.566667,42.100000,,70.00
B 349,DrkN,20.790000,43.950000,,
B 350,DrkN,20.818333,45.866667,,3.00
B 351,DrkN,20.875000,47.400000,,30.00
B 352,DrkN,20.953333,45.883333,,
B 353,DrkN,20.956667,45.466667,,12.00
B 354,DrkN,20.966667,58.100000,,60.00
B 355,DrkN,20.993333,43.183333,,6.00
B 356,DrkN,21.008333,46.616667,,22.00
B 357,DrkN,20.989472,55.629722,13.75,46.20
B 358,DrkN,21.095000,43.266667,,18.00
B 359,DrkN,21.113333,57.166667,,15.00
B 360,DrkN,21.131667,56.300000,,18.00
B 361,DrkN,21.203639,47.389722,,21.00
B 362,DrkN,21.401100,50.163490,,7.00
B 363,DrkN,21.421667,48.883333,,32.00
B 364,DrkN,21.566667,54.500000,,70.00
B 365,DrkN,21.581667,56.716667,,
B 366,DrkN,21.670000,59.583333,,13.00
B 367,DrkN,21.743333,57.200000,,5.00
B 368,DrkN,21.860000,59.066667,,10.00
B 369,DrkN,22.263333,56.000000,,5.00
B 370,DrkN,22.566667,56.600000,,30.00
