name,type,ra_hours,dec_degrees,magnitude,size_arcmin
NGC 209,G,0.651000,-18.608278,14.09,1.14
NGC 210,G,0.676394,-13.872806,11.12,4.98
NGC 211,Dup,0.660981,3.442889,,
NGC 212,G,0.670369,-56.153028,15.40,1.91
NGC 213,G,0.686111,16.469389,14.72,1.44
NGC 214,G,0.691119,25.499444,12.21,1.87
NGC 215,G,0.680242,-56.214056,14.09,1.15
NGC 216,G,0.690875,-21.045444,13.21,1.35
NGC 217,G,0.692747,-10.021417,12.10,3.20
NGC 218,G,0.775553,36.325611,13.53,1.32
NGC 219,G,0.703142,0.904556,15.23,0.59
NGC 220,OCl,0.674969,-73.403972,14.39,1.20
NGC 221,G,0.711619,40.865278,8.13,7.74
NGC 222,OCl,0.678808,-73.385694,12.64,1.20
NGC 223,G,0.704411,0.845500,14.33,1.18
NGC 224,G,0.712319,41.269056,3.44,177.83
NGC 225,OCl,0.726772,61.766944,7.00,4.20
NGC 226,G,0.715011,32.580972,14.38,0.79
NGC 227,G,0.710231,-1.528778,12.16,1.91
NGC 228,G,0.715142,23.503056,14.82,0.89
NGC 229,G,0.717956,23.509111,14.62,1.08
NGC 230,G,0.707547,-23.628806,15.61,1.30
NGC 231,OCl,0.685119,-73.352417,12.87,1.80
NGC 232,G,0.712728,-23.561361,14.46,0.98
NGC 233,G,0.726822,30.587000,13.76,1.25
NGC 234,G,0.725664,14.342556,13.43,1.57
NGC 235,GPair,0.714778,-23.543333,,2.00
NGC 235 A,G,0.714669,-23.541028,13.55,1.38
NGC 235 B,G,0.714889,-23.545556,13.97,1.29
NGC 236,G,0.724317,2.958194,14.44,1.15
NGC 237,G,0.724400,-0.124917,13.60,1.30
NGC 238,G,0.723819,-50.182833,12.51,2.02
NGC 239,G,0.743753,-3.759250,14.28,0.94
NGC 240,G,0.750536,6.113361,14.72,1.35
NGC 241,OCl,0.725425,-73.440472,,0.95
NGC 242,OCl,0.726050,-73.446306,12.10,0.75
NGC 243,G,0.766908,29.959500,14.53,0.92
NGC 244,G,0.762897,-15.596889,13.79,1.04
NGC 245,G,0.768164,-1.723389,12.35,1.20
NGC 246,PN,0.784267,-11.871944,10.90,4.08
NGC 247,G,0.785708,-20.760389,9.21,19.68
NGC 247 A,G,0.791150,-20.397639,17.22,0.52
NGC 247 B,G,0.793097,-20.428694,14.43,1.05
NGC 247 C,GPair,0.793808,-20.452806,16.39,0.55
NGC 247 D,G,0.793608,-20.486000,15.70,0.61
NGC 248,Cl+N,0.756678,-73.379806,,1.40
NGC 249,HII,0.759128,-73.080083,13.80,1.10
NGC 250,G,0.787781,7.910028,14.83,1.28
NGC 251,G,0.798342,19.596833,12.60,1.73
NGC 252,G,0.800417,27.623639,12.49,1.62
NGC 253,G,0.792533,-25.288222,11.11,26.79
NGC 254,G,0.791003,-31.421750,11.67,2.77
NGC 255,G,0.796475,-11.468694,11.93,2.04
NGC 256,OCl,0.764814,-73.506833,12.50,0.90
NGC 257,G,0.800419,8.297083,12.62,1.83
NGC 258,G,0.803553,27.657194,15.23,0.51
NGC 259,G,0.800914,-2.775333,13.70,2.86
NGC 260,G,0.809625,27.692444,14.27,0.76
NGC 261,Neb,0.774419,-73.103639,13.00,1.30
NGC 262,G,0.813094,31.956972,14.38,1.17
NGC 263,G,0.813464,-13.107389,15.11,0.80
NGC 264,G,0.805817,-38.234361,14.50,1.26
NGC 265,OCl,0.786156,-73.477167,12.17,1.20
NGC 266,G,0.829944,32.277722,11.82,2.92
NGC 267,OCl,0.800806,-73.274028,,2.00
NGC 268,G,0.835989,-5.193722,13.03,1.42
NGC 269,OCl,0.806119,-73.531528,12.59,1.20
NGC 270,G,0.842367,-8.651639,13.78,1.77
NGC 271,G,0.844961,-1.910250,13.20,2.38
NGC 272,OCl,0.856989,35.821750,,
NGC 273,G,0.846792,-6.885694,12.92,1.96
NGC 274,G,0.850517,-7.056944,13.38,1.27
NGC 275,G,0.851167,-7.066667,12.43,1.75
NGC 276,G,0.868492,-22.680139,15.85,1.10
NGC 277,G,0.854786,-8.596833,14.36,1.34
NGC 278,G,0.867864,47.550500,10.85,2.36
NGC 279,G,0.869153,-2.218444,13.96,1.41
NGC 280,G,0.875072,24.350583,14.55,1.00
NGC 281,HII,0.883153,56.621889,,35.00
NGC 282,G,0.878375,30.639056,14.59,1.25
NGC 283,G,0.887003,-13.163889,15.36,1.14
NGC 284,G,0.890075,-13.158861,15.93,0.62
NGC 285,G,0.891636,-13.160722,16.13,0.76
NGC 286,G,0.891772,-13.112778,15.33,0.88
NGC 287,G,0.891192,32.482306,14.74,0.83
NGC 288,GCl,0.879847,-26.589889,8.13,9.60
NGC 289,G,0.878433,-31.205833,11.18,3.36
NGC 290,OCl,0.853939,-73.161528,11.71,1.10
NGC 291,G,0.891644,-8.767806,14.64,0.98
NGC 292,G,0.879106,-72.828611,2.30,299.92
NGC 293,G,0.904433,-7.235472,15.05,1.12
NGC 294,OCl,0.884642,-73.380361,12.24,1.70
NGC 295,G,0.992300,31.798056,14.98,0.59
NGC 296,G,0.918753,31.542278,12.29,2.23
NGC 297,G,0.916372,-7.349667,16.88,0.35
NGC 298,G,0.917319,-7.333083,16.52,1.47
NGC 299,OCl,0.890019,-72.197111,11.73,0.90
NGC 300,G,0.914856,-37.684389,8.66,19.41
NGC 301,G,0.938431,-10.673889,15.62,0.64
NGC 302,*,0.940364,-10.663222,,
NGC 303,G,0.915197,-16.654611,15.35,0.73
NGC 304,G,0.935006,24.126889,12.67,1.17
NGC 305,Other,0.939144,12.065111,,
NGC 306,OCl,0.903939,-72.242333,12.07,1.10
NGC 307,G,0.942383,-1.771944,12.79,1.61
NGC 308,*,0.942839,-1.783917,,
NGC 309,G,0.945183,-9.913861,12.17,2.23
NGC 310,*,0.946661,-1.765778,,
NGC 311,G,0.959092,30.280750,13.00,1.36
NGC 312,G,0.937758,-52.782694,12.39,1.84
NGC 313,Other,0.962678,30.366083,,
NGC 314,G,0.947892,-31.962972,14.40,1.00
NGC 315,G,0.963578,30.352444,11.60,2.86
NGC 316,*,0.964569,30.354306,16.80,
NGC 317,GPair,0.961028,43.796389,,1.83
NGC 317 A,G,0.960847,43.800778,13.56,1.21
NGC 317 B,G,0.961236,43.792250,13.94,0.97
NGC 318,G,0.968119,30.425528,15.26,0.60
NGC 319,G,0.949333,-43.838778,14.30,1.00
NGC 320,G,0.979592,-20.840083,14.62,0.89
NGC 321,G,0.960897,-5.086194,15.81,0.45
NGC 322,G,0.952781,-43.727083,14.33,1.15
NGC 323,G,0.944903,-52.975917,12.53,1.82
NGC 324,G,0.954106,-40.959111,12.81,1.48
NGC 325,G,0.963297,-5.112083,14.92,1.19
NGC 326,GPair,0.972972,26.865278,,1.00
NGC 326 NED01,G,0.972956,26.866250,13.26,1.00
NGC 326 NED02,G,0.973014,26.864556,,0.17
NGC 327,G,0.965378,-5.130417,13.42,1.39
NGC 328,G,0.949325,-52.923917,14.07,2.46
NGC 329,G,0.967111,-5.071222,13.27,1.59
NGC 330,OCl,0.938236,-72.462944,9.55,2.80
NGC 331,G,0.785239,-2.731139,15.51,0.96
NGC 332,G,0.980314,7.111306,14.82,1.37
NGC 333,GPair,0.980889,-16.470278,,1.50
NGC 333 A,G,0.980919,-16.469194,16.00,0.41
NGC 333 B,G,0.980858,-16.471444,14.90,1.50
NGC 334,G,0.980503,-35.116028,14.62,1.08
NGC 335,G,0.988828,-18.234667,15.16,1.28
NGC 336,G,0.967453,-18.384333,15.48,0.75
NGC 337,G,0.997247,-7.577972,11.48,2.92
NGC 337 A,G,1.026083,-7.588250,12.37,2.63
NGC 338,G,1.010114,30.668972,12.70,1.75
NGC 339,GCl,0.961683,-74.473389,12.21,2.90
NGC 340,G,1.009689,-6.866583,14.52,0.94
NGC 341,G,1.012731,-9.185694,13.97,1.25
NGC 342,G,1.013850,-6.772556,15.43,0.91
NGC 343,G,0.973314,-23.225222,16.56,0.72
NGC 344,G,0.973733,-23.229222,16.87,0.28
NGC 345,G,1.022806,-6.884278,14.86,0.98
NGC 346,OCl,0.984733,-72.177111,,8.50
NGC 347,G,1.026433,-6.733667,15.71,0.60
NGC 348,G,1.014447,-53.244500,14.59,0.84
NGC 349,G,1.030764,-6.799806,14.05,1.34
NGC 350,G,1.032419,-6.795722,15.43,0.79
NGC 351,G,1.032733,-1.936750,14.12,1.53
NGC 352,G,1.035892,-4.245472,12.59,2.29
NGC 353,G,1.040147,-1.958861,14.63,1.26
NGC 354,G,1.054553,22.342667,14.16,0.90
NGC 355,G,1.051939,-6.324000,16.43,0.73
NGC 356,G,1.051972,-6.988361,14.08,1.75
NGC 357,G,1.056078,-6.339222,12.02,2.11
NGC 358,Other,1.086369,62.020444,,
NGC 359,G,1.071378,-0.764917,14.42,1.28
NGC 360,G,1.047625,-65.609972,13.43,3.99
NGC 361,OCl,1.036156,-71.604750,11.77,2.60
NGC 362,GCl,1.053953,-70.848222,6.58,8.70
NGC 363,G,1.104386,-16.542750,15.64,0.82
NGC 364,G,1.078008,-0.802750,14.24,1.40
NGC 365,G,1.071867,-35.121417,14.25,1.01
NGC 366,OCl,1.107219,62.228917,,5.10
NGC 367,G,1.096914,-12.128472,15.45,0.96
NGC 368,G,1.072789,-43.276750,14.70,0.72
NGC 369,G,1.085808,-17.759194,14.58,0.95
NGC 370,Other,1.112386,32.428694,,
NGC 371,OCl,1.058203,-72.056833,,4.20
NGC 372,Dup,1.112386,32.428694,,
NGC 373,G,1.116169,32.308472,15.94,0.52
NGC 374,G,1.118272,32.795111,14.23,1.30
NGC 375,G,1.118311,32.348167,14.29,0.48
NGC 376,OCl,1.064847,-72.823667,10.90,1.80
NGC 377,G,1.109672,-20.332556,16.31,0.98
NGC 378,G,1.103392,-30.178139,13.80,1.52
NGC 379,G,1.121025,32.520361,12.76,1.41
NGC 380,G,1.121553,32.482917,12.48,1.45
NGC 381,OCl,1.138336,61.583278,9.30,6.00
NGC 382,G,1.123297,32.403861,14.48,0.24
NGC 383,G,1.123600,32.412556,12.14,2.39
NGC 384,G,1.123639,32.292444,13.08,1.10
NGC 385,G,1.124236,32.319528,12.94,1.21
NGC 386,G,1.125358,32.362000,14.28,0.46
NGC 387,G,1.125850,32.391111,16.49,0.42
NGC 388,G,1.129764,32.309972,14.36,0.58
NGC 389,G,1.141647,39.695444,14.93,1.26
