name,type,ra_hours,dec_degrees,magnitude,size_arcmin
IC 184,G,1.997564,-6.840389,13.89,1.12
IC 185,G,2.001678,-1.528333,15.72,0.79
IC 186,GTrpl,2.006806,-1.551722,,1.10
IC 186 A,G,2.006667,-1.552861,14.87,1.21
IC 186 B,G,2.007069,-1.549806,15.80,0.69
IC 186 NED03,G,2.007056,-1.550833,,0.25
IC 187,G,2.025211,26.480972,13.79,2.23
IC 188,G,2.029583,26.546889,14.40,0.54
IC 189,G,2.031364,23.551500,14.85,0.78
IC 190,G,2.035356,23.549833,15.03,0.25
IC 191,Dup,2.041481,18.373000,,
IC 192,G,2.042331,16.014167,14.75,0.95
IC 193,G,2.041939,11.093083,14.62,1.36
IC 194,G,2.051450,2.614250,15.18,1.85
IC 195,G,2.062392,14.709278,13.15,1.46
IC 196,G,2.063833,14.739139,14.11,2.47
IC 197,G,2.068036,2.786833,14.25,1.01
IC 198,G,2.100867,9.295556,14.81,1.01
IC 199,G,2.105389,9.227417,15.33,1.28
IC 200,G,2.090733,31.175333,12.82,1.38
IC 201,G,2.120914,9.115056,16.77,0.54
IC 202,G,2.124628,9.168306,15.22,1.35
IC 203,G,2.124903,9.122639,16.90,0.60
IC 204,G,2.124189,-1.430194,15.82,0.55
IC 205,G,2.124286,-2.091278,14.76,0.92
IC 206,G,2.158522,-6.968389,14.34,1.22
IC 207,G,2.160931,-6.922194,14.53,1.81
IC 208,G,2.141039,6.394917,14.73,1.32
IC 209,G,2.149642,-7.058917,13.80,1.51
IC 210,G,2.157856,-9.680333,13.82,2.35
IC 211,G,2.185556,3.852500,14.07,1.66
IC 212,G,2.227294,16.593944,15.75,0.79
IC 213,G,2.234522,16.455889,13.20,1.43
IC 214,G,2.234886,5.173250,14.16,0.58
IC 215,G,2.235961,-6.806333,15.62,0.84
IC 216,G,2.265422,-2.015111,15.87,0.50
IC 217,G,2.269567,-11.926722,15.08,2.00
IC 218,G,2.285347,1.282333,15.63,0.91
IC 219,G,2.310786,-6.903333,14.44,1.56
IC 220,G,2.319925,-12.781639,15.08,0.67
IC 221,G,2.378028,28.256972,13.81,1.54
IC 222,G,2.379958,11.638333,15.14,0.84
IC 223,G,2.366972,-20.745917,14.09,1.15
IC 224,G,2.412539,-12.564472,15.00,0.86
IC 225,G,2.441192,1.160528,14.83,1.01
IC 226,G,2.462758,28.208833,16.00,0.81
IC 227,G,2.467669,28.175333,15.39,2.01
IC 228,Dup,2.444869,-14.515639,,
IC 229,Other,2.456136,-23.813000,,
IC 230,G,2.479803,-10.831361,15.54,0.64
IC 231,G,2.498997,1.179083,15.14,0.74
