name,type,ra_hours,dec_degrees,magnitude,size_arcmin
Arp 318,GGroup,2.161338,-10.183900,,17.94
Arp 319,G,22.597741,33.944933,13.60,0.83
Arp 320,GGroup,11.630694,21.985000,15.40,5.50
Arp 321,GPair,9.648333,-4.851667,,1.74
Arp 322,GGroup,11.542222,52.948333,,2.10
Arp 324,G,16.038063,15.974631,,0.78
Arp 325,GPair,22.056667,-21.050000,,
Arp 326,GPair,13.626667,6.433333,,
Arp 327,GPair,5.362714,6.688800,,0.71
Arp 328,GPair,14.798565,19.060310,,0.50
Arp 329,GPair,11.535278,70.811667,,0.90
Arp 330,G,16.819876,53.419747,,0.52
Arp 331,G,1.118311,32.348110,,0.50
Arp 332,GPair,3.140900,-23.055763,,0.46
Arp 333,G,2.653324,10.846831,,2.55
Arp 334,G,13.507216,31.620769,,1.72
Arp 335,GPair,11.073209,4.828612,,1.92
Arp 336,G,8.926306,58.734410,12.70,3.10
Arp 337,G,9.931231,69.679703,8.41,
Arp 338,GPair,10.183333,-7.900000,,
